"cell_id","acc_x","acc_y"
"0","0.0","0.0"
"1","0.0","0.0"
"2","0.0","0.0"
"3","0.0","0.0"
"4","0.0","0.0"
"5","0.0","0.0"
"6","0.0","0.0"
"7","0.0","0.0"
"8","0.0","0.0"
"9","0.0","0.0"
"10","0.0","0.0"
"11","0.0","0.0"
"12","0.0","0.0"
"13","0.0","0.0"
"14","0.0","0.0"
"15","0.0","0.0"
"16","0.0","0.0"
"17","0.0","0.0"
"18","0.0","0.0"
"19","0.0","0.0"
"20","0.0","0.0"
"21","0.0","0.0"
"22","0.0","0.0"
"23","0.0","0.0"
"24","-0.02323000000000519","0.004790000000000072"
"25","-0.019384999999999764","0.010244999999999949"
"26","-0.0032233333333332817","0.006713333333333423"
"27","0.0","0.0"
"28","0.0","0.0"
"29","-0.015440000000001675","0.007769999999999999"
"30","0.0","0.0"
"31","0.0","0.0"
"32","-0.0231899999999996","0.03432000000000035"
"33","0.0","0.0"
"34","0.0","0.0"
"35","0.0","0.0"
"36","0.0","0.0"
"37","0.0","0.0"
"38","0.0","0.0"
"39","0.0","0.0"
"40","0.0","0.0"
"41","0.0","0.0"
"42","0.0","0.0"
"43","0.0","0.0"
"44","0.0","0.0"
"45","0.0","0.0"
"46","0.0","0.0"
"47","0.0","0.0"
"48","0.0","0.0"
"49","0.0","0.0"
"50","0.0","0.0"
"51","0.0","0.0"
"52","0.0","0.0"
"53","0.0","0.0"
"54","0.0","0.0"
"55","0.0","0.0"
"56","0.0","0.0"
"57","0.0","0.0"
"58","0.0","0.0"
"59","0.0","0.0"
"60","0.0","0.0"
"61","0.0","0.0"
"62","0.0","0.0"
"63","0.0","0.0"
"64","0.0","0.0"
"65","0.0","0.0"
"66","0.0","0.0"
"67","-0.026279999999992754","0.009700000000000042"
"68","-0.001539999999991437","0.015169999999999462"
"69","-0.014215000000000089","0.009090000000000042"
"70","-0.03160000000000451","0.013009999999999966"
"71","0.0","0.0"
"72","0.0","0.0"
"73","0.0","0.0"
"74","0.0","0.0"
"75","0.0","0.0"
"76","0.0","0.0"
"77","0.0","0.0"
"78","0.0","0.0"
"79","0.0","0.0"
"80","-0.008099999999998886","0.025629999999999598"
"81","-0.014479999999998938","0.02463499999999974"
"82","0.0","0.0"
"83","0.0","0.0"
"84","0.0","0.0"
"85","0.0","0.0"
"86","0.0","0.0"
"87","0.0","0.0"
"88","0.0","0.0"
"89","0.0","0.0"
"90","0.0","0.0"
"91","0.0","0.0"
"92","0.0","0.0"
"93","0.0","0.0"
"94","0.0","0.0"
"95","0.0","0.0"
"96","0.0","0.0"
"97","0.0","0.0"
"98","0.0","0.0"
"99","0.0","0.0"
"100","0.0","0.0"
"101","0.0","0.0"
"102","0.0","0.0"
"103","0.0","0.0"
"104","0.0","0.0"
"105","0.0","0.0"
"106","0.0","0.0"
"107","0.0","0.0"
"108","0.0","0.0"
"109","0.0","0.0"
"110","0.0","0.0"
"111","0.0","0.0"
"112","-0.010500000000000398","0.011920000000000819"
"113","-0.00982999999999734","0.02236999999999978"
"114","0.0","0.0"
"115","0.0","0.0"
"116","0.0","0.0"
"117","0.0","0.0"
"118","0.0","0.0"
"119","0.0","0.0"
"120","0.0","0.0"
"121","0.0","0.0"
"122","0.0","0.0"
"123","0.0","0.0"
"124","0.0","0.0"
"125","0.0","0.0"
"126","0.0","0.0"
"127","0.0","0.0"
"128","0.0","0.0"
"129","-0.0010200000000111231","0.029050000000000686"
"130","0.0","0.0"
"131","0.0","0.0"
"132","0.0","0.0"
"133","0.0","0.0"
"134","0.0","0.0"
"135","0.0","0.0"
"136","0.0","0.0"
"137","0.0","0.0"
"138","0.0","0.0"
"139","0.0","0.0"
"140","0.0","0.0"
"141","0.0","0.0"
"142","0.0","0.0"
"143","0.0","0.0"
"144","0.0","0.0"
"145","-0.0025650000000112527","0.015449999999999076"
"146","-0.007305999999999457","0.009682000000000102"
"147","-0.009102307692307713","0.006947948717948722"
"148","-0.004040000000003374","0.011998571428570795"
"149","0.0","0.0"
"150","0.0","0.0"
"151","0.0","0.0"
"152","-0.03743000000000052","0.02690999999999999"
"153","-0.029640000000000555","0.05938999999999961"
"154","0.0","0.0"
"155","0.0","0.0"
"156","-0.026225000000000165","0.03416499999999978"
"157","-0.00802333333333157","0.007796666666666378"
"158","-0.013889999999996405","0.003209999999999269"
"159","0.0","0.0"
"160","0.0","0.0"
"161","0.0","0.0"
"162","0.0","0.0"
"163","0.0","0.0"
"164","0.0","0.0"
"165","0.0","0.0"
"166","0.0","0.0"
"167","0.0","0.0"
"168","0.0","0.0"
"169","0.0","0.0"
"170","0.0","0.0"
"171","0.0","0.0"
"172","0.0","0.0"
"173","0.0","0.0"
"174","0.0","0.0"
"175","0.0","0.0"
"176","-0.00299749999999932","0.006732500000000252"
"177","0.0","0.0"
"178","-0.006835000000009472","0.003929999999999989"
"179","0.0","0.0"
"180","-0.006243333333339744","0.01191999999999993"
"181","-0.009268000000000142","0.016107999999999834"
"182","-0.0063816666666696165","0.013683333333333417"
"183","-0.009672500000004192","0.020220000000000127"
"184","-0.004546000000001982","0.01451600000000024"
"185","-0.010170000000002233","0.006875000000000853"
"186","0.0","0.0"
"187","0.0","0.0"
"188","0.0","0.0"
"189","0.0","0.0"
"190","0.0","0.0"
"191","-1.4000000000180535E-4","0.017160000000000508"
"192","-0.014537692307692819","0.026674999999999935"
"193","-0.01654874999999978","0.018221249999999634"
"194","-0.010048636363636166","0.01473863636363641"
"195","-0.011603076923078194","0.012409230769230898"
"196","-0.02147555555555493","0.03548555555555567"
"197","-0.019238749999999527","0.02630124999999972"
"198","-0.007729999999998682","0.007680000000000575"
"199","-0.0036300000000011323","0.005180000000001073"
"200","-0.02286666666666548","0.024616666666666138"
"201","-0.015070000000003839","0.02067666666666727"
"202","-0.004689999999982319","0.0073499999999988574"
"203","0.0","0.0"
"204","0.0","0.0"
"205","-0.01092999999999833","0.012229999999999741"
"206","0.0","0.0"
"207","0.0","0.0"
"208","0.0","0.0"
"209","0.0","0.0"
"210","0.0","0.0"
"211","0.0","0.0"
"212","0.0","0.0"
"213","0.0","0.0"
"214","0.0","0.0"
"215","0.0","0.0"
"216","-0.019040000000003943","0.02109000000000094"
"217","-0.0147399999999962","0.0033999999999991815"
"218","0.0","0.0"
"219","0.0","0.0"
"220","-0.011449999999996407","0.0018266666666656068"
"221","-0.00508666666665647","0.008486666666667494"
"222","-0.007625000000004434","0.0017649999999997945"
"223","-0.013036666666669324","0.010249999999999796"
"224","-0.004764999999995467","0.005909999999999194"
"225","-0.005006666666667788","0.0037966666666665225"
"226","-0.008140000000002109","0.005693333333332736"
"227","-0.01069000000000031","0.00735750000000035"
"228","0.0","0.0"
"229","0.0","0.0"
"230","-0.018636000000000763","0.026467999999999846"
"231","-0.006770000000003051","0.008860000000000312"
"232","-0.017785000000003492","0.05473999999999979"
"233","0.0","0.0"
"234","0.0","0.0"
"235","0.0","0.0"
"236","0.0","0.0"
"237","0.0","0.0"
"238","-0.014183999999999664","0.016447000000000676"
"239","-0.013368412698413145","0.02135873015873023"
"240","-0.02762210526315827","0.026098947368420847"
"241","-0.02066166666666754","0.024831666666665992"
"242","-0.02957526315789475","0.026462631578947512"
"243","-0.012173333333331766","0.015696666666667112"
"244","-0.02314000000000031","0.01740555555555565"
"245","-0.03759312500000078","0.02151312499999991"
"246","-0.02339399999999827","0.01421899999999976"
"247","-0.02886400000000151","0.031090000000000017"
"248","-1.1479299999999988","0.3756699999999995"
"249","-0.01486600000000209","0.017154000000000023"
"250","-0.013557500000000111","0.013667499999999944"
"251","-0.011580000000002144","0.0409000000000006"
"252","-0.010296666666666473","0.009693333333334072"
"253","-0.003000000000007219","0.003939999999998278"
"254","0.0","0.0"
"255","-0.008559999999995682","0.015799999999998704"
"256","-0.001879999999996329","0.019600000000000506"
"257","-0.01976333333333713","0.01352000000000153"
"258","-0.005355000000001553","0.0037125000000002295"
"259","-0.012879999999999114","0.010674999999999102"
"260","-0.015749999999997044","0.014120000000000132"
"261","-0.007239999999999469","0.009159999999998725"
"262","-0.0032899999999926877","0.010140000000001592"
"263","-0.007519999999992422","0.00949000000000133"
"264","-0.015070000000001471","0.002955000000000041"
"265","-0.01745000000000374","8.599999999976404E-4"
"266","0.0","0.0"
"267","0.0","0.0"
"268","0.0","0.0"
"269","0.0","0.0"
"270","0.0","0.0"
"271","0.0","0.0"
"272","0.0","0.0"
"273","-0.006511666666665879","0.004993333333332887"
"274","-0.0014649999999960528","0.002474999999999561"
